"Species","Top5PercentDots"
"Goitered gazelle",9635
"Saiga antelope",0
"Mongolian gazelle",29
"Himalayan tahr",338
"Chinkara",50620
"Markhor",391
"Urial",3629
"Bharal",1989
"Tibetan gazelle",758
"Chiru",6
