TreeID,TreeForm,Girth_cm,Stems,HeightGirth_cm,Estimated,Date
69,maiden,400,1,130,0,"2016-2019
"
70,maiden,378,NULL,NA,NULL,"2007-2015
"
71,maiden,95,NULL,NA,NULL,"2007-2015
"
71,maiden,105,1,130,0,"2016-2019
"
72,maiden,100,NULL,NA,NULL,"2007-2015
"
73,maiden,67,NULL,NA,NULL,"2007-2015
"
74,maiden,78,NULL,NA,NULL,"2007-2015
"
75,maiden,120,NULL,NA,NULL,"2007-2015
"
75,maiden,138,1,130,0,"2016-2019
"
76,maiden,69,NULL,NA,NULL,"2007-2015
"
76,maiden,76,1,130,0,"2016-2019
"
77,maiden,69,NULL,NA,NULL,"2007-2015
"
77,maiden,71,1,130,0,"2016-2019
"
78,maiden,64,NULL,NA,NULL,"2007-2015
"
78,maiden,79,1,130,0,"2016-2019
"
79,maiden,82,NULL,NA,NULL,"2007-2015
"
79,maiden,91,1,130,0,"2016-2019
"
80,maiden,127,NULL,NA,NULL,"2007-2015
"
80,maiden,139,1,130,0,"2016-2019
"
81,maiden,123,NULL,NA,NULL,"2007-2015
"
81,maiden,129,1,130,0,"2016-2019
"
82,maiden,153,NULL,NA,NULL,"2007-2015
"
82,maiden,171,1,130,0,"2016-2019
"
83,maiden,105,NULL,NA,NULL,"2007-2015
"
83,maiden,109,1,130,0,"2016-2019
"
84,maiden,53,NULL,NA,NULL,"2007-2015
"
85,maiden,90,NULL,NA,NULL,"2007-2015
"
85,maiden,97,1,130,0,"2016-2019
"
86,multistem,186,NULL,NA,NULL,"2007-2015
"
86,multistem,297,2,130,0,"2016-2019
"
87,maiden,109,NULL,NA,NULL,"2007-2015
"
88,maiden,92,NULL,NA,NULL,"2007-2015
"
88,maiden,95,1,130,0,"2016-2019
"
89,maiden,82,NULL,NA,NULL,"2007-2015
"
89,maiden,75,1,130,0,"2016-2019
"
90,maiden,91,NULL,NA,NULL,"2007-2015
"
90,maiden,80,1,130,0,"2016-2019
"
91,maiden,61,NULL,NA,NULL,"2007-2015
"
92,maiden,94,NULL,NA,NULL,"2007-2015
"
92,maiden,92,1,130,0,"2016-2019
"
93,maiden,106,NULL,NA,NULL,"2007-2015
"
93,maiden,110,1,130,0,"2016-2019
"
94,maiden,71,NULL,NA,NULL,"2007-2015
"
95,maiden,125,NULL,NA,NULL,"2007-2015
"
95,maiden,138,1,130,0,"2016-2019
"
96,maiden,104,NULL,NA,NULL,"2007-2015
"
96,maiden,105,1,130,0,"2016-2019
"
97,maiden,125,NULL,NA,NULL,"2007-2015
"
97,maiden,138,1,130,0,"2016-2019
"
98,maiden,94,NULL,NA,NULL,"2007-2015
"
98,maiden,100,1,130,0,"2016-2019
"
99,maiden,113,NULL,NA,NULL,"2007-2015
"
99,maiden,122,1,130,0,"2016-2019
"
100,maiden,109,NULL,NA,NULL,"2007-2015
"
100,maiden,110,1,130,0,"2016-2019
"
101,maiden,89,NULL,NA,NULL,"2007-2015
"
102,maiden,174,NULL,NA,NULL,"2007-2015
"
102,maiden,177,1,130,0,"2016-2019
"
103,maiden,110,NULL,NA,NULL,"2007-2015
"
103,maiden,103,1,130,0,"2016-2019
"
104,maiden,78,NULL,NA,NULL,"2007-2015
"
105,maiden,134,NULL,NA,NULL,"2007-2015
"
106,maiden,71,NULL,NA,NULL,"2007-2015
"
107,maiden,122,NULL,NA,NULL,"2007-2015
"
107,maiden,110,1,130,0,"2016-2019
"
108,maiden,97,NULL,NA,NULL,"2007-2015
"
108,maiden,103,1,130,0,"2016-2019
"
109,maiden,120,NULL,NA,NULL,"2007-2015
"
109,maiden,126,1,130,0,"2016-2019
"
110,maiden,78,NULL,NA,NULL,"2007-2015
"
110,maiden,73,1,130,0,"2016-2019
"
111,maiden,55,NULL,NA,NULL,"2007-2015
"
111,maiden,53,1,130,0,"2016-2019
"
112,maiden,156,1,130,0,"2016-2019
"
113,maiden,90,NULL,NA,NULL,"2007-2015
"
114,maiden,85,NULL,NA,NULL,"2007-2015
"
115,maiden,68,NULL,NA,NULL,"2007-2015
"
116,maiden,133,NULL,NA,NULL,"2007-2015
"
116,maiden,142,1,130,0,"2016-2019
"
117,maiden,69,NULL,NA,NULL,"2007-2015
"
118,maiden,63,NULL,NA,NULL,"2007-2015
"
119,maiden,87,NULL,NA,NULL,"2007-2015
"
119,maiden,87,1,130,0,"2016-2019
"
120,maiden,80,NULL,NA,NULL,"2007-2015
"
121,maiden,104,NULL,NA,NULL,"2007-2015
"
122,maiden,113,NULL,NA,NULL,"2007-2015
"
123,maiden,382,NULL,NA,NULL,"2007-2015
"
123,maiden,400,1,130,0,"2016-2019
"
124,maiden,67,NULL,NA,NULL,"2007-2015
"
124,maiden,65,1,130,0,"2016-2019
"
124,maiden,362,1,130,0,30/03/2021
125,maiden,87,NULL,NA,NULL,"2007-2015
"
125,maiden,90,1,130,0,"2016-2019
"
126,maiden,109,NULL,NA,NULL,"2007-2015
"
126,maiden,110,1,130,0,"2016-2019
"
127,maiden,171,NULL,NA,NULL,"2007-2015
"
127,maiden,189,1,130,0,"2016-2019
"
128,maiden,159,NULL,NA,NULL,"2007-2015
"
128,maiden,184,1,130,0,"2016-2019
"
129,maiden,211,NULL,NA,NULL,"2007-2015
"
130,maiden,85,NULL,NA,NULL,"2007-2015
"
130,maiden,84,1,130,0,"2016-2019
"
131,maiden,118,NULL,NA,NULL,"2007-2015
"
131,maiden,170,1,130,0,"2016-2019
"
132,maiden,122,NULL,NA,NULL,"2007-2015
"
133,maiden,112,NULL,NA,NULL,"2007-2015
"
133,maiden,110,1,130,0,"2016-2019
"
134,maiden,141,NULL,NA,NULL,"2007-2015
"
135,maiden,442,NULL,NA,NULL,"2007-2015
"
135,maiden,444,1,130,0,"2016-2019
"
136,maiden,114,NULL,NA,NULL,"2007-2015
"
136,maiden,121,1,130,0,"2016-2019
"
137,maiden,114,NULL,NA,NULL,"2007-2015
"
137,maiden,132,1,130,0,"2016-2019
"
138,maiden,124,1,130,0,"2016-2019
"
139,maiden,81,1,130,0,"2016-2019
"
140,maiden,134,NULL,NA,NULL,"2007-2015
"
140,maiden,144,1,130,0,"2016-2019
"
141,maiden,82,NULL,NA,NULL,"2007-2015
"
142,maiden,82,NULL,NA,NULL,"2007-2015
"
143,maiden,115,NULL,NA,NULL,"2007-2015
"
143,maiden,169,1,130,0,"2016-2019
"
144,maiden,39,NULL,NA,NULL,"2007-2015
"
144,maiden,43,1,130,0,"2016-2019
"
145,maiden,45,NULL,NA,NULL,"2007-2015
"
145,maiden,49,1,130,0,"2016-2019
"
146,multistem,109,NULL,NA,NULL,"2007-2015
"
146,multistem,200,1,base,0,"2016-2019
"
147,multistem,168,NULL,NA,NULL,"2007-2015
"
147,multistem,271,1,base,0,"2016-2019
"
148,multistem,59,NULL,NA,NULL,"2007-2015
"
148,multistem,93,2,130,0,"2016-2019
"
149,multistem,52,NULL,NA,NULL,"2007-2015
"
149,multistem,75,1,base,0,"2016-2019
"
150,multistem,320,1,base,0,"2016-2019
"
151,maiden,56,NULL,NA,NULL,"2007-2015
"
151,maiden,67,1,130,0,"2016-2019
"
152,maiden,33,NULL,NA,NULL,"2007-2015
"
152,maiden,37,1,130,0,"2016-2019
"
153,maiden,51,NULL,NA,NULL,"2007-2015
"
153,maiden,58,1,130,0,"2016-2019
"
154,maiden,58,NULL,NA,NULL,"2007-2015
"
154,maiden,63,1,130,0,"2016-2019
"
155,maiden,44,NULL,NA,NULL,"2007-2015
"
156,maiden,27,NULL,NA,NULL,"2007-2015
"
157,maiden,31,NULL,NA,NULL,"2007-2015
"
157,maiden,34,1,130,0,"2016-2019
"
158,maiden,27,NULL,NA,NULL,"2007-2015
"
159,maiden,143,1,130,0,"2016-2019
"
160,multistem,86,NULL,NA,NULL,"2007-2015
"
160,multistem,134,2,130,0,"2016-2019
"
161,multistem,98,NULL,NA,NULL,"2007-2015
"
161,multistem,156,2,130,0,"2016-2019
"
162,maiden,41,NULL,NA,NULL,"2007-2015
"
162,maiden,40,1,130,0,"2016-2019
"
163,maiden,49,NULL,NA,NULL,"2007-2015
"
163,maiden,85,1,130,0,"2016-2019
"
164,maiden,47,NULL,NA,NULL,"2007-2015
"
164,maiden,56,1,130,0,"2016-2019
"
165,maiden,67,NULL,NA,NULL,"2007-2015
"
165,maiden,99,1,130,0,"2016-2019
"
166,maiden,79,NULL,NA,NULL,"2007-2015
"
166,maiden,90,1,130,0,"2016-2019
"
167,maiden,21,NULL,NA,NULL,"2007-2015
"
167,maiden,23,1,130,0,"2016-2019
"
168,maiden,15,NULL,NA,NULL,"2007-2015
"
168,maiden,44,1,130,0,"2016-2019
"
169,maiden,35,NULL,NA,NULL,"2007-2015
"
169,maiden,44,1,130,0,"2016-2019
"
170,maiden,44,NULL,NA,NULL,"2007-2015
"
170,maiden,50,1,130,0,"2016-2019
"
171,maiden,41,NULL,NA,NULL,"2007-2015
"
171,maiden,71,1,130,0,"2016-2019
"
172,maiden,72,NULL,NA,NULL,"2007-2015
"
172,maiden,87,1,130,0,"2016-2019
"
174,maiden,109,NULL,NA,NULL,"2007-2015
"
174,maiden,182,1,130,0,"2016-2019
"
175,maiden,28,NULL,NA,NULL,"2007-2015
"
176,maiden,49,NULL,NA,NULL,"2007-2015
"
176,maiden,51,1,130,0,"2016-2019
"
177,maiden,117,NULL,NA,NULL,"2007-2015
"
177,maiden,130,1,130,0,"2016-2019
"
178,maiden,38,NULL,NA,NULL,"2007-2015
"
179,maiden,45,NULL,NA,NULL,"2007-2015
"
179,maiden,50,1,130,0,"2016-2019
"
181,maiden,44,NULL,NA,NULL,"2007-2015
"
181,maiden,49,1,130,0,"2016-2019
"
182,maiden,31,NULL,NA,NULL,"2007-2015
"
182,maiden,26,1,130,0,"2016-2019
"
184,maiden,200,NULL,NA,NULL,"2007-2015
"
185,maiden,220,NULL,NA,NULL,"2007-2015
"
186,maiden,176,NULL,NA,NULL,"2007-2015
"
187,maiden,448,NULL,NA,NULL,"2007-2015
"
188,maiden,199,NULL,NA,NULL,"2007-2015
"
189,maiden,152,NULL,NA,NULL,"2007-2015
"
190,maiden,92,NULL,NA,NULL,"2007-2015
"
191,maiden,121,NULL,NA,NULL,"2007-2015
"
192,maiden,154,NULL,NA,NULL,"2007-2015
"
193,maiden,55,NULL,NA,NULL,"2007-2015
"
194,maiden,61,NULL,NA,NULL,"2007-2015
"
195,maiden,150,NULL,NA,NULL,"2007-2015
"
196,maiden,218,NULL,NA,NULL,"2007-2015
"
197,maiden,176,NULL,NA,NULL,"2007-2015
"
198,maiden,169,NULL,NA,NULL,"2007-2015
"
199,maiden,64,NULL,NA,NULL,"2007-2015
"
199,maiden,88,1,130,0,"2016-2019
"
200,maiden,292,NULL,NA,NULL,"2007-2015
"
201,maiden,124,NULL,NA,NULL,"2007-2015
"
202,maiden,89,NULL,NA,NULL,"2007-2015
"
203,maiden,81,NULL,NA,NULL,"2007-2015
"
204,maiden,190,NULL,NA,NULL,"2007-2015
"
205,maiden,62,NULL,NA,NULL,"2007-2015
"
206,maiden,64,NULL,NA,NULL,"2007-2015
"
207,maiden,74,NULL,NA,NULL,"2007-2015
"
209,maiden,121,NULL,NA,NULL,"2007-2015
"
209,maiden,132,1,130,0,"2016-2019
"
210,maiden,36,NULL,NA,NULL,"2007-2015
"
211,maiden,101,NULL,NA,NULL,"2007-2015
"
212,maiden,83,NULL,NA,NULL,"2007-2015
"
213,maiden,63,NULL,NA,NULL,"2007-2015
"
214,maiden,139,NULL,NA,NULL,"2007-2015
"
215,maiden,124,NULL,NA,NULL,"2007-2015
"
216,maiden,77,NULL,NA,NULL,"2007-2015
"
217,maiden,100,NULL,NA,NULL,"2007-2015
"
218,maiden,137,NULL,NA,NULL,"2007-2015
"
219,maiden,193,NULL,NA,NULL,"2007-2015
"
220,maiden,86,NULL,NA,NULL,"2007-2015
"
221,maiden,166,NULL,NA,NULL,"2007-2015
"
222,maiden,112,NULL,NA,NULL,"2007-2015
"
223,maiden,117,NULL,NA,NULL,"2007-2015
"
224,maiden,80,NULL,NA,NULL,"2007-2015
"
225,maiden,103,NULL,NA,NULL,"2007-2015
"
226,maiden,83,NULL,NA,NULL,"2007-2015
"
227,maiden,145,NULL,NA,NULL,"2007-2015
"
228,maiden,55,NULL,NA,NULL,"2007-2015
"
229,maiden,78,NULL,NA,NULL,"2007-2015
"
230,maiden,148,NULL,NA,NULL,"2007-2015
"
230,maiden,165,1,130,0,"2016-2019
"
231,maiden,193,NULL,NA,NULL,"2007-2015
"
231,maiden,201,1,130,0,"2016-2019
"
232,maiden,126,NULL,NA,NULL,"2007-2015
"
233,maiden,68,NULL,NA,NULL,"2007-2015
"
234,maiden,140,NULL,NA,NULL,"2007-2015
"
235,maiden,123,NULL,NA,NULL,"2007-2015
"
235,maiden,126,1,130,0,"2016-2019
"
236,maiden,126,NULL,NA,NULL,"2007-2015
"
236,maiden,135,1,130,0,"2016-2019
"
237,maiden,194,NULL,NA,NULL,"2007-2015
"
237,maiden,204,1,130,0,"2016-2019
"
238,maiden,79,NULL,NA,NULL,"2007-2015
"
238,maiden,80,1,130,0,"2016-2019
"
239,maiden,70,NULL,NA,NULL,"2007-2015
"
240,maiden,166,NULL,NA,NULL,"2007-2015
"
240,maiden,180,1,130,0,"2016-2019
"
241,maiden,124,NULL,NA,NULL,"2007-2015
"
241,maiden,126,1,130,0,"2016-2019
"
242,maiden,132,NULL,NA,NULL,"2007-2015
"
243,maiden,71,NULL,NA,NULL,"2007-2015
"
244,maiden,69,NULL,NA,NULL,"2007-2015
"
245,maiden,118,NULL,NA,NULL,"2007-2015
"
246,maiden,82,NULL,NA,NULL,"2007-2015
"
246,maiden,88,1,130,0,"2016-2019
"
247,maiden,48,1,130,0,"2016-2019
"
248,maiden,35,NULL,NA,NULL,"2007-2015
"
249,maiden,138,NULL,NA,NULL,"2007-2015
"
250,maiden,51,NULL,NA,NULL,"2007-2015
"
251,maiden,103,NULL,NA,NULL,"2007-2015
"
252,maiden,92,NULL,NA,NULL,"2007-2015
"
253,maiden,57,NULL,NA,NULL,"2007-2015
"
254,maiden,53,NULL,NA,NULL,"2007-2015
"
255,maiden,75,NULL,NA,NULL,"2007-2015
"
256,maiden,93,NULL,NA,NULL,"2007-2015
"
257,maiden,153,NULL,NA,NULL,"2007-2015
"
258,maiden,136,NULL,NA,NULL,"2007-2015
"
259,maiden,111,NULL,NA,NULL,"2007-2015
"
260,maiden,57,NULL,NA,NULL,"2007-2015
"
261,maiden,113,NULL,NA,NULL,"2007-2015
"
262,maiden,171,NULL,NA,NULL,"2007-2015
"
263,maiden,201,NULL,NA,NULL,"2007-2015
"
264,maiden,147,NULL,NA,NULL,"2007-2015
"
265,maiden,139,NULL,NA,NULL,"2007-2015
"
266,maiden,67,NULL,NA,NULL,"2007-2015
"
267,maiden,112,NULL,NA,NULL,"2007-2015
"
268,maiden,88,NULL,NA,NULL,"2007-2015
"
269,maiden,163,NULL,NA,NULL,"2007-2015
"
270,maiden,177,NULL,NA,NULL,"2007-2015
"
271,maiden,81,NULL,NA,NULL,"2007-2015
"
272,maiden,100,NULL,NA,NULL,"2007-2015
"
273,maiden,71,NULL,NA,NULL,"2007-2015
"
274,maiden,83,NULL,NA,NULL,"2007-2015
"
275,maiden,141,NULL,NA,NULL,"2007-2015
"
276,maiden,89,NULL,NA,NULL,"2007-2015
"
277,maiden,115,NULL,NA,NULL,"2007-2015
"
278,maiden,78,NULL,NA,NULL,"2007-2015
"
279,maiden,170,NULL,NA,NULL,"2007-2015
"
280,maiden,121,NULL,NA,NULL,"2007-2015
"
281,maiden,91,NULL,NA,NULL,"2007-2015
"
282,maiden,123,NULL,NA,NULL,"2007-2015
"
283,maiden,134,NULL,NA,NULL,"2007-2015
"
284,maiden,120,NULL,NA,NULL,"2007-2015
"
