"group_id","logistic.R2","logistic.AICc","gompertz.R2","gompertz.AICc","quad.R2","quad.AICc","cubic.R2","cubic.AICc","Akaike_weight_logistic","Akaike_weight_gompertz","Akaike_weight_quad","Akaike_weight_cubic","PopBio_units","Temp"
65,0.955188793020236,21.8299294850629,0.676624616259157,56.1419296003959,0.802905013496022,44.0483421889596,0.875740654589122,41.7952853435382,0.999938801291696,3.54174479514558e-08,1.4972916544913e-05,4.61903743115627e-05,"OD_595",25
66,0.965741623381646,10.0681759861256,0.658080226462119,53.3003534752502,0.794642917302019,40.5121027782025,0.891999399726971,33.7088846263428,0.999992401285596,4.09495032520695e-10,2.4500897491127e-07,7.35329593404536e-06,"OD_595",25
67,0.94224607690041,21.5422361715445,0.504557398762936,58.4478062494868,0.662416563231859,48.0265574754064,0.754755522361573,47.8998673586474,0.999996325905642,9.68402018920839e-09,1.77419399403781e-06,1.89021634412524e-06,"OD_595",35
68,0.995786931495525,-28.5915055579354,0.995278155679706,-22.5321535951229,0.381179879748983,56.2320920719903,0.558363620767034,54.6187322555052,0.953896925504277,0.0461030744957236,3.63321631805392e-19,8.14006530126503e-19,"OD_595",35
69,0.981430844815079,5.2263532310747,0.568538531909587,59.9208108452683,0.575371683254015,55.3017509376821,0.783176563384213,48.9112933612173,0.999999999658758,1.32815705516164e-12,1.33741302453638e-11,3.265395421318e-10,"OD_595",35
70,0.954497953714693,21.1614625732887,0.169365340745397,69.3946206407092,0.439737190197266,58.8211927524532,0.704136288779578,53.9102534645962,0.9999999159335,3.35971754064682e-11,6.6419172434746e-09,7.73909854861828e-08,"OD_595",35
71,0.931000676579468,42.6615959881962,0.271719159912245,82.6771133164902,0.414996796534315,74.7244053508502,0.552909974505815,75.3582117738877,0.999999809462353,2.04522331140028e-09,1.09055940380729e-07,7.94364835729751e-08,"OD_595",35
72,0.985759106821194,-5.12134174147178,-0.0607146248109049,72.2797389996752,0.65495346785784,49.067206418403,0.805710566830386,43.4248032202295,0.999999999969559,1.55800508352283e-17,1.71043382293352e-12,2.87301942745328e-11,"OD_595",35
73,0.977129913215281,-3.08738983053902,0.400692681662948,56.5548824650581,0.642291305663741,43.6607257104335,0.784613613279032,39.1580862107607,0.999999999258619,1.11903875281916e-13,7.05952840917526e-11,6.7067394477129e-10,"OD_595",35
74,0.962810273903351,-5.11106088940867,NA,Inf,0.565085362332515,31.7756976153136,0.768133284612467,27.0075581922546,0.999999884169604,0,9.7755705138338e-09,1.06054825307746e-07,"OD_595",35
