"","TreeID","Girth_cm","Score"
"1",2480,8,3.23076923076923
"2",2221,13,3.54545454545455
"3",2479,13,3.58333333333333
"4",2335,14,3.35294117647059
"5",168,15,3.47368421052632
"6",1383,15,3.08
"7",2004,15,3.35714285714286
"8",2481,16,3.53846153846154
"9",1582,17,2.5
"10",2633,17,4
"11",1791,18,3.64705882352941
"12",2321,18,3.5
"13",2358,18,3.84615384615385
"14",2338,19,3.30769230769231
"15",544,20,3.36842105263158
"16",557,20,3.05555555555556
"17",563,20,3.16666666666667
"18",655,20,3.4
"19",899,20,3.33333333333333
"20",1581,20,1.07142857142857
"21",1589,20,2.8
"22",2003,20,3.15384615384615
"23",2312,20,3.6
"24",2322,20,3.33333333333333
"25",2336,20,3.5
"26",2337,20,3.75
"27",2482,20,3.84615384615385
"28",2664,20,3.33333333333333
"29",2665,20,3.85714285714286
"30",167,21,3.35
"31",2313,21,3.5
"32",2483,21,3.53333333333333
"33",545,22,3.27777777777778
"34",620,22,3.52631578947368
"35",1978,23,3.2
"36",1998,23,3.23809523809524
"37",631,24,3.73333333333333
"38",949,24,2.2
"39",2112,24,3.69230769230769
"40",375,25,3.04347826086957
"41",533,25,3.0952380952381
"42",535,25,3.22727272727273
"43",1446,25,3.33333333333333
"44",1451,25,3.58333333333333
"45",1959,25,3.25
"46",182,26,1.36585365853659
"47",1052,26,3.375
"48",1263,26,3.31578947368421
"49",1377,26,3.19047619047619
"50",2114,26,3.61904761904762
"51",2360,26,3.26666666666667
"52",2440,26,3.88888888888889
"53",156,27,2.11111111111111
"54",158,27,3.16666666666667
"55",542,27,3.17647058823529
"56",566,27,3.23076923076923
"57",569,27,3.78571428571429
"58",2280,27,3.25
"59",175,28,1.53846153846154
"60",414,28,2.82352941176471
"61",619,28,3.47619047619048
"62",1045,28,4
"63",1226,28,4.2
"64",1377,28,4.11111111111111
"65",1641,28,4.375
"66",1747,28,3.84210526315789
"67",2216,28,3.23076923076923
"68",2339,28,3.72727272727273
"69",2340,28,4
"70",2662,28,3
"71",484,29,3.2
"72",538,29,3.1
"73",899,29,4.125
"74",1351,29,3.78048780487805
"75",1712,29,4.2
"76",2133,29,3.92307692307692
"77",2568,29,3.5
"78",374,30,3.39130434782609
"79",1878,30,3.44444444444444
"80",1906,30,3.42857142857143
"81",2190,30,3.45833333333333
"82",2333,30,3.64285714285714
"83",2657,30,3.33333333333333
"84",157,31,3.27777777777778
"85",182,31,3.33333333333333
"86",358,31,3.05970149253731
"87",537,31,3.41176470588235
"88",596,31,3.30434782608696
"89",723,31,3.55
"90",2029,31,3.33333333333333
"91",2203,31,3.45454545454545
"92",2212,31,3.52941176470588
"93",371,32,3.5
"94",489,32,3.27272727272727
"95",1217,32,3
"96",2079,32,3.6
"97",2347,32,3.2
"98",152,33,3.5
"99",373,33,2.85714285714286
"100",990,33,3.16666666666667
"101",1430,33,3.89473684210526
"102",1896,33,3.58333333333333
"103",596,34,3.14285714285714
"104",1910,34,2.5
"105",2073,34,3
"106",2111,34,3.95833333333333
"107",2223,34,3.58333333333333
"108",2349,34,3.28571428571429
"109",2674,34,3.5
"110",169,35,3.38888888888889
"111",248,35,3.2
"112",358,35,3.425
"113",1307,35,3.3265306122449
"114",1938,35,3.6
"115",2209,35,3.75
"116",2246,35,3.78571428571429
"117",2286,35,3.75
"118",2561,35,3.25
"119",2571,35,3.88888888888889
"120",2582,35,3.75
"121",2623,35,4
"122",210,36,3.72727272727273
"123",492,36,3.10526315789474
"124",1375,36,3.1
"125",1851,36,3.6
"126",1927,36,3.6
"127",2284,36,3.71428571428571
"128",2310,36,3.66666666666667
"129",2634,36,3.5
"130",152,37,3.4
"131",477,37,3.51219512195122
"132",621,37,3.26086956521739
"133",698,37,3.33333333333333
"134",947,37,3.21739130434783
"135",1225,37,3.82051282051282
"136",1306,37,3.1
"137",1563,37,3.28571428571429
"138",1709,37,3.6
