"TreeID","Girth_cm","JulianDate"
1011,170,114
1012,65,116
1013,92,116
1014,55,116
1015,56,116
1016,60,116
1017,141,116
1018,41,116
1019,112,116
1020,100,116
1021,300,116
1022,292,116
1023,78,120
1024,415,118
1042,70,114
1058,153,NA
1059,74,120
1060,158,118
1061,140,NA
1062,107,NA
1064,106,NA
1066,155,NA
1067,137,NA
1070,234,114
1071,238,NA
1072,162,120
1073,217,118
1074,470,112
1075,105,114
1076,66,120
1077,158,NA
1078,100,116
1079,86,NA
1080,141,118
1081,78,NA
1082,144,118
1083,140,114
1084,105,NA
1085,161,NA
1086,140,NA
1087,346,116
1089,56,120
1090,60,NA
1091,53,NA
1092,245,NA
1100,138,114
1101,320,NA
1104,165,114
1108,109,116
1114,220,NA
1115,447,NA
1122,113,NA
1123,125,NA
1124,193,NA
1125,127,NA
1126,156,116
1127,206,112
1128,97,122
1129,120,NA
1130,91,NA
1131,89,118
1132,180,118
1133,143,NA
1135,116,120
1136,86,118
1137,61,118
1138,74,NA
1139,67,118
1141,302,120
1142,237,118
1143,235,114
1144,308,NA
1150,60,NA
1162,224,NA
1169,394,112
1170,185,118
1172,352,114
1173,132,118
1174,105,NA
1175,52,120
1176,95,112
1177,65,NA
1178,338,114
1179,343,NA
1180,155,NA
1181,66,NA
1182,322,118
1184,419,118
1185,80,118
1186,135,118
1187,345,118
1188,54,122
1190,72,NA
1191,168,NA
1193,149,112
1194,60,118
1195,155,NA
1196,109,120
1197,107,NA
1198,111,118
1205,126,112
1206,129,110
1207,216,112
1208,114,NA
1211,398,112
1212,125,116
1213,70,NA
1214,77,NA
1215,67,112
1216,56,120
1217,32,NA
1218,46,120
1219,67,118
1220,108,NA
1223,126,112
1224,59,114
1229,77,NA
1232,77,NA
1234,63,NA
1236,260,112
1239,194,112
1242,86,116
1243,61,120
1244,59,120
1245,103,116
1246,48,120
1247,74,NA
1248,71,120
1249,57,120
1250,50,NA
1251,90,120
1252,67,NA
1253,58,120
1254,63,120
1255,102,112
1256,90,NA
1257,69,122
1258,129,120
1259,58,120
1260,96,120
1261,55,120
1262,70,120
1263,26,NA
1264,54,NA
1265,110,NA
1267,47,NA
1268,61,114
1269,54,120
1272,211,118
1273,44,112
1274,255,118
1275,318,NA
1277,312,112
1278,280,114
1279,265,120
1280,406,112
1281,72,122
1284,101,NA
1285,161,NA
1286,124,112
1287,68,120
1288,104,NA
1289,71,120
1290,47,122
1291,107,120
1292,136,120
1293,92,NA
1294,126,120
1297,101,NA
1298,41,NA
1299,95,NA
1300,110,NA
1303,73,NA
1304,151,120
1305,58,NA
1306,37,NA
1307,35,NA
1308,71,116
1309,96,120
1310,60,120
1311,51,118
1312,46,112
1313,69,118
1314,49,NA
1315,253,NA
1316,113,112
1317,210,NA
1320,284,NA
1322,171,118
1323,107,118
1324,211,116
1325,201,116
1326,276,NA
1327,320,NA
1328,143,NA
1329,55,NA
1331,115,NA
1332,79,123
1333,105,NA
1334,55,NA
1335,56,NA
1336,108,117
1337,78,117
1339,103,113
1340,74,NA
1341,109,113
1342,52,NA
1343,97,NA
1344,60,NA
1346,100,119
1347,70,NA
1348,97,NA
1349,112,NA
1350,77,113
1353,39,115
1354,65,115
1355,111,113
1356,48,115
1357,77,121
1358,39,NA
1359,188,115
1360,127,NA
1361,170,NA
1362,105,115
1363,106,NA
1364,105,NA
1365,153,NA
1366,462,NA
1367,82,113
1368,118,NA
1369,92,NA
1371,106,115
1372,70,NA
1373,114,NA
1374,91,NA
1375,36,120
1376,46,114
1377,26,120
1378,52,126
1379,40,NA
1380,151,120
1383,15,120
1384,248,116
1385,286,112
1386,366,112
1387,330,NA
1388,399,NA
1389,60,NA
1390,280,NA
1392,75,NA
1393,72,NA
1394,105,120
1395,266,120
1397,299,116
1398,236,120
1399,260,NA
1400,261,NA
1401,266,NA
1402,212,NA
1403,183,NA
1404,235,118
1407,72,NA
1409,107,118
1410,83,113
1411,68,113
1412,120,NA
1413,116,113
1414,95,113
1415,83,113
1416,118,NA
1418,75,113
1419,138,113
1420,121,NA
1422,48,NA
1423,307,109
1424,170,113
1425,146,NA
1426,126,NA
1427,139,NA
1428,73,121
1429,47,NA
1430,33,119
1431,54,119
1432,60,NA
1433,57,121
1434,65,121
1435,62,NA
1436,84,113
1441,207,NA
1442,190,109
1443,141,NA
1444,149,113
1445,180,NA
1446,25,NA
1447,62,117
1448,100,NA
1449,40,NA
1450,67,119
1451,25,NA
1452,122,NA
1453,226,NA
1454,107,113
1455,140,NA
1456,102,119
1457,154,NA
1458,79,NA
1459,152,NA
1460,110,NA
1461,128,NA
1462,155,NA
1463,115,NA
1464,166,NA
1465,112,113
1467,165,109
1468,124,NA
1469,144,NA
1470,162,109
1471,128,NA
1472,157,NA
1473,142,NA
1474,164,NA
1475,165,115
1476,190,113
1478,90,123
1479,58,NA
1480,90,119
1481,90,NA
1482,75,115
1483,100,121
1484,120,125
1485,105,NA
1487,107,NA
1488,172,113
1489,168,121
1490,170,NA
1491,200,NA
1492,182,123
1493,47,NA
1494,168,NA
1495,46,NA
1496,56,125
1497,40,125
1505,118,109
1506,92,NA
1507,74,NA
1508,71,123
1509,91,NA
1510,78,113
1511,95,NA
1512,160,113
1513,78,NA
1514,115,NA
1515,97,NA
1516,88,NA
1517,79,113
1518,76,113
1519,47,NA
1520,97,119
1521,137,NA
1523,148,NA
1524,44,NA
1525,70,NA
1526,75,115
1527,91,115
1528,65,117
1529,45,115
1530,87,NA
1531,82,115
1532,253,115
1533,145,NA
1534,225,NA
1535,65,NA
1536,61,127
1537,92,119
1538,91,115
1540,92,NA
1541,65,119
1542,61,NA
1543,75,115
1544,125,NA
1545,210,111
1546,119,NA
1547,62,NA
1548,102,NA
1549,66,NA
1550,47,NA
1552,209,119
1555,88,NA
1564,40,119
1570,175,NA
1573,89,NA
1576,152,NA
1577,160,NA
1579,65,NA
1580,72,NA
1581,20,NA
1584,56,121
1585,162,NA
1586,53,NA
1616,162,119
1618,46,118
1619,206,115
1620,289,NA
1621,233,113
1622,212,119
1623,230,111
1624,114,NA
1625,295,117
1645,80,115
1648,48,119
1650,72,113
1653,189,NA
1655,131,NA
1662,72,NA
1663,129,NA
1665,178,112
1666,93,116
1667,59,120
1668,98,118
1669,42,126
1671,134,112
1672,111,112
1673,136,118
1674,88,NA
1675,67,NA
1676,67,119
1677,71,115
1678,71,NA
1679,86,NA
1680,100,115
1681,124,NA
1682,124,NA
1683,59,119
1684,120,115
1685,74,NA
1686,109,117
1687,137,119
1689,152,NA
1690,219,NA
1691,118,NA
1692,77,119
1693,105,NA
1694,72,119
1695,113,NA
1696,74,NA
1697,50,NA
1698,62,125
1699,112,121
1700,80,123
1701,97,121
1702,72,115
1703,79,125
1704,87,NA
1705,63,NA
1706,58,119
1707,86,119
1708,45,119
1709,37,119
1711,592,119
1712,47,NA
1713,43,119
1714,115,NA
1715,77,115
1716,110,115
1717,141,NA
1718,120,113
1719,72,125
1720,67,117
1721,133,NA
1722,106,NA
1727,117,115
1728,182,NA
1729,137,NA
1730,137,119
1731,115,NA
1733,49,119
1734,95,NA
1735,79,NA
1739,121,NA
1740,133,115
1741,126,119
1742,68,117
1743,90,NA
1744,70,NA
1745,38,117
1746,75,119
1747,28,NA
1748,47,125
1749,45,NA
1750,68,119
1751,199,109
1752,111,115
1753,250,NA
1754,175,113
1755,60,119
1756,172,119
1757,110,NA
1758,150,115
1759,121,119
1760,86,119
1761,159,NA
1762,84,NA
1763,89,NA
1772,118,NA
1774,55,NA
1775,115,NA
1783,73,119
1787,95,119
1788,136,119
1805,73,NA
1812,104,NA
1825,72,NA
1845,158,117
1847,183,117
1854,143,NA
1857,176,121
1871,225,NA
1872,201,119
1889,113,121
1892,108,117
1897,95,119
1900,84,119
1901,76,NA
1912,133,NA
1913,39,121
1916,195,119
1919,112,119
1960,65,116
1964,120,114
1989,67,NA
1990,128,114
1991,87,114
1994,480,NA
1998,23,118
2007,113,NA
2009,76,118
2012,190,NA
2013,188,NA
2033,110,NA
2040,57,NA
2042,53,NA
2052,114,114
2056,145,120
2068,122,114
2090,300,NA
2110,206,114
2111,34,116
2114,26,118
2131,52,116
2139,87,116
2149,138,119
2153,132,NA
2169,108,116
2172,114,114
2176,66,120
2183,72,118
2185,148,118
2187,61,NA
2190,30,118
2195,72,114
2203,31,114
2213,51,114
2232,92,114
2235,111,116
2237,75,NA
2243,138,NA
2246,35,118
2260,90,114
2267,128,114
2273,84,114
2282,87,114
2286,35,114
2287,136,NA
2303,266,114
2311,65,116
2316,91,NA
2323,108,114
2328,190,114
2352,137,116
2359,42,121
2360,26,121
2361,137,119
2362,46,NA
2421,165,NA
2422,119,NA
2423,80,NA
2424,99,NA
2425,117,116
2426,87,NA
2428,52,NA
2429,87,NA
2430,82,121
2433,116,NA
2434,74,113
2435,56,119
2436,38,121
2450,74,119
2451,112,NA
2465,55,119
2466,118,118
2467,82,118
2468,116,118
2469,169,116
2470,94,114
2471,92,NA
2473,148,114
2474,92,NA
2475,89,114
2476,72,114
2477,142,114
2478,129,114
2479,13,NA
2480,8,127
2481,16,NA
2482,20,121
2483,21,119
2484,42,NA
2485,111,121
2486,98,NA
2488,259,122
2489,160,120
2492,151,112
2493,43,NA
2494,140,NA
2495,109,NA
2496,98,NA
2497,198,112
2498,158,116
2499,124,118
2500,78,114
2501,121,114
2503,60,114
2504,69,114
2505,161,116
2506,191,114
2507,97,114
2508,148,NA
2509,67,114
2510,114,114
2511,63,116
2512,128,NA
2513,51,114
2514,116,114
2515,94,114
2516,82,114
2517,96,114
2518,95,114
2519,166,NA
2520,95,NA
2521,120,114
2522,84,114
2523,113,NA
2524,72,116
2525,71,NA
2526,102,NA
2527,52,114
2528,60,114
2529,73,114
2530,96,NA
2531,159,114
2532,102,114
2533,83,NA
2534,109,114
2535,57,NA
2536,73,114
2537,81,114
2538,143,NA
2594,110,112
2643,43,NA
2644,88,NA
2645,91,NA
2646,124,123
2652,138,113
2653,133,113
2669,93,114
2671,123,114
2672,76,NA
2673,208,NA
2674,34,NA
2675,151,118
2676,162,NA
2680,70,113
2681,120,NA
2684,253,NA
2687,184,NA
2688,231,119
2690,200,NA
2691,173,114
2692,174,NA
2693,161,116
2694,152,114
2695,143,NA
2697,138,NA
2699,229,NA
2705,137,120
